iter	RMSE
0	638.2400909
1	630.9548705
2	625.2406554
3	618.5330966
4	614.5636123
5	610.3500832
6	607.2784486
7	603.0322498
8	598.8104794
9	595.9925325
10	594.3686522
11	591.1705037
12	587.2852621
13	584.6644308
14	581.4893567
15	577.8041318
16	574.7447524
17	569.7317903
18	567.7368788
19	565.8633068
20	563.8998521
21	561.4264565
22	558.2359947
23	554.862247
24	552.6351907
25	551.2479374
26	550.1951968
27	548.2475967
28	545.9299493
29	543.2504556
30	541.533166
31	539.681168
32	539.1505949
33	537.8249505
34	536.5690432
35	534.4544803
36	533.0558727
37	532.2819581
38	531.1343262
39	529.8883808
40	528.7415262
41	526.3941853
42	525.7086403
43	524.6227595
44	523.8569719
45	521.9197598
46	521.0602424
47	520.1038232
48	518.770968
49	518.2100738
50	517.4192793
51	516.8169139
52	515.7135073
53	515.3547051
54	514.304024
55	514.1121294
56	511.95653
57	509.9094169
58	509.2080967
59	508.8109065
60	508.4636284
61	507.8655333
62	507.4657311
63	507.0376647
64	506.2666732
65	506.0555624
66	505.7910112
67	505.0783088
68	502.8723929
69	502.0015839
70	501.5762526
71	499.6807285
72	499.30096
73	498.6615622
74	498.2632939
75	497.7618589
76	496.4052138
77	496.134447
78	495.8522292
79	495.7673381
80	495.3912673
81	495.0689619
82	494.7272686
83	494.4491751
84	494.2948837
85	493.8798267
86	493.5299479
87	493.1474516
88	492.8096153
89	492.5433092
90	491.8394705
91	491.6987092
92	490.2659771
93	490.0559697
94	489.8371152
95	489.723076
96	489.1231939
97	489.0900103
98	488.9717686
99	488.8819095
100	488.8818753
101	488.8632091
102	488.832258
103	488.1588309
104	487.9611144
105	487.8220627
106	487.5962707
107	487.288242
108	486.7756565
109	486.4111075
110	485.8788578
111	485.837951
112	485.8319114
113	485.8006014
114	485.6457287
115	485.2925391
116	484.7654712
117	484.3878711
118	484.2338743
119	484.1006089
120	483.8041789
121	483.7446627
122	483.0950719
123	483.0182112
124	482.9424906
125	481.9034223
126	481.6690611
127	481.5637793
128	481.212499
129	480.8891896
130	479.653789
131	479.5911983
132	479.5615494
133	478.6626563
134	478.5589464
135	477.9859202
136	477.8370254
137	477.8346226
138	477.7693096
139	477.7081766
140	477.5877118
141	477.4268599
142	476.9603235
143	476.5406037
144	476.364238
145	476.2761473
146	475.4940442
147	475.3997011
148	475.2459707
149	475.0370806
150	475.0070962
151	475.0025855
152	474.9020265
153	474.8739866
154	474.3803069
155	474.1810962
156	473.7073332
157	473.6469008
158	473.288602
159	472.9798241
160	472.909201
161	472.871281
162	472.8449855
163	472.5216044
164	472.220653
165	472.14906
166	471.9138076
167	471.5709113
168	471.5020508
169	471.3917791
170	471.1705123
171	471.1131045
172	471.0600047
173	470.9918553
174	470.7790905
175	470.6970976
176	470.6569603
177	469.9298085
178	469.6566867
179	469.4600561
180	469.3597914
181	469.3534616
182	469.3529645
183	469.2988578
184	468.854269
185	468.374757
186	468.2304678
187	468.2271608
188	468.2098015
189	468.1532062
190	468.1308082
191	468.0125561
192	467.7722228
193	467.7312907
194	467.6763425
195	467.6099343
196	467.5827428
197	467.5627136
198	467.5256749
199	467.5002984
200	467.4953224
201	467.1668907
202	466.7742018
203	466.7200532
204	466.7170217
205	466.5954659
206	466.5834183
207	466.5369602
208	465.818388
209	465.817546
210	465.6220392
211	465.4581013
212	465.4306641
213	465.3343337
214	465.2040791
215	465.1219117
216	465.0853415
217	464.5575881
218	464.207372
219	464.1888147
220	464.1711384
221	463.9898967
222	463.858379
223	463.8512342
224	463.5494683
225	463.2936965
226	463.0462166
227	462.7077897
228	462.6569317
229	462.5183849
230	462.4793042
231	462.4259309
232	462.298256
233	462.1414794
234	461.8235687
235	461.687901
236	461.6271984
237	461.6230164
238	461.6095451
239	461.6038832
240	461.3711186
241	461.3585675
242	461.2041339
243	460.7985965
244	460.5050474
245	460.4326452
246	460.4267602
247	460.3160058
248	459.7806845
249	459.7467134
250	459.7440062
251	459.7402966
252	459.7348142
253	459.731448
254	459.5153367
255	459.4662963
256	459.4613166
257	459.1456231
258	459.1278456
259	459.0173521
260	458.9140048
261	458.8290361
262	458.5591698
263	458.5545731
264	458.3505294
265	458.324386
266	458.321327
267	458.2193938
268	458.2036765
269	458.1224048
270	458.0460298
271	457.8293916
272	457.8254479
273	457.7308372
274	457.7280236
275	457.7010616
276	457.6979143
277	457.3849504
278	457.2988241
279	457.0674417
280	457.0645846
281	457.0621379
282	456.7574681
283	456.6777733
