iter	Passed	Remaining
0	83	83111
1	160	80096
2	217	72326
3	278	69317
4	359	71601
5	414	68603
6	442	62731
7	487	60490
8	539	59381
9	606	60073
10	631	56753
11	701	57733
12	766	58202
13	842	59358
14	922	60595
15	1001	61612
16	1062	61439
17	1138	62093
18	1215	62741
19	1293	63365
20	1360	63437
21	1436	63855
22	1518	64519
23	1587	64568
24	1725	67313
25	1828	68517
26	1889	68087
27	1966	68262
28	2051	68701
29	2144	69334
30	2216	69285
31	2283	69089
32	2337	68506
33	2399	68179
34	2458	67773
35	2540	68017
36	2623	68284
37	2696	68266
38	2774	68370
39	2856	68547
40	2942	68820
41	3025	69015
42	3111	69241
43	3188	69274
44	3275	69521
45	3348	69439
46	3430	69568
47	3513	69692
48	3582	69537
49	3666	69672
50	3747	69739
51	3824	69716
52	3907	69817
53	3982	69768
54	4063	69813
55	4101	69135
56	4189	69307
57	4274	69428
58	4352	69414
59	4442	69592
60	4525	69656
61	4601	69609
62	4687	69713
63	4761	69630
64	4847	69723
65	4931	69793
66	5005	69706
67	5088	69741
68	5192	70065
69	5270	70027
70	5357	70102
71	5435	70051
72	5528	70209
73	5607	70173
74	5687	70151
75	5761	70042
76	5813	69682
77	5862	69299
78	5916	68976
79	5955	68492
80	6024	68356
81	6099	68288
82	6180	68284
83	6236	68011
84	6303	67860
85	6374	67745
86	6449	67679
87	6525	67624
88	6612	67682
89	6691	67657
90	6770	67631
91	6850	67606
92	6931	67599
93	7018	67648
94	7098	67620
95	7186	67668
96	7275	67730
97	7343	67587
98	7421	67543
99	7511	67606
100	7527	67001
101	7580	66739
102	7655	66665
103	7746	66743
104	7822	66678
105	7905	66674
106	7987	66660
107	8076	66709
108	8163	66735
109	8239	66668
110	8328	66700
111	8414	66712
112	8480	66566
113	8556	66500
114	8633	66442
115	8703	66323
116	8776	66238
117	8864	66254
118	8954	66290
119	9020	66148
120	9094	66067
121	9165	65961
122	9255	65991
123	9332	65931
124	9404	65833
125	9463	65640
126	9514	65400
127	9566	65168
128	9638	65076
129	9728	65103
130	9792	64960
131	9865	64872
132	9949	64860
133	10015	64729
134	10091	64662
135	10172	64627
136	10224	64405
137	10262	64101
138	10322	63938
139	10387	63807
140	10446	63639
141	10502	63460
142	10560	63288
143	10628	63181
144	10703	63115
145	10746	62861
146	10801	62677
147	10861	62527
148	10937	62471
149	11013	62411
150	11051	62135
151	11121	62043
152	11237	62207
153	11312	62145
154	11381	62050
155	11451	61955
156	11506	61783
157	11627	61962
158	11694	61855
159	11764	61762
160	11828	61638
161	11891	61512
162	11950	61365
163	12002	61181
164	12072	61093
165	12128	60932
166	12179	60749
167	12231	60573
168	12282	60396
169	12340	60248
170	12398	60106
171	12455	59961
172	12524	59869
173	12602	59825
174	12694	59846
175	12784	59855
176	12872	59853
177	12959	59848
178	13044	59831
179	13110	59727
180	13187	59669
181	13265	59622
182	13315	59446
183	13395	59404
184	13482	59397
185	13563	59359
186	13647	59335
187	13685	59108
188	13735	58937
189	13795	58813
190	13860	58709
191	13923	58594
192	13996	58525
193	14065	58435
194	14139	58368
195	14208	58282
196	14298	58281
197	14366	58193
198	14451	58171
199	14537	58148
200	14619	58116
201	14751	58276
202	14844	58282
203	14916	58205
204	15003	58183
205	15080	58126
206	15157	58068
207	15215	57936
208	15292	57876
209	15386	57883
210	15469	57846
211	15546	57784
212	15635	57769
213	15724	57756
214	15803	57700
215	15913	57758
216	15991	57703
217	16133	57874
218	16203	57783
219	16267	57676
220	16332	57568
221	16411	57515
222	16490	57458
223	16576	57426
224	16666	57406
225	16741	57336
226	16808	57239
227	16893	57200
228	16980	57169
229	17074	57162
230	17156	57114
231	17238	57066
232	17312	56990
233	17398	56955
234	17473	56882
235	17546	56802
236	17617	56716
237	17688	56632
238	17770	56583
239	17851	56528
240	17933	56480
241	18018	56437
242	18104	56401
243	18180	56328
244	18271	56305
245	18350	56243
246	18421	56160
247	18508	56121
248	18591	56073
249	18669	56009
250	18752	55958
251	18833	55902
252	18912	55839
253	18986	55764
254	19067	55707
255	19144	55638
256	19219	55565
257	19311	55538
258	19408	55528
259	19503	55509
260	19601	55499
261	19684	55446
262	19769	55399
263	19841	55315
264	19918	55245
265	20001	55192
266	20086	55144
267	20171	55095
268	20257	55049
269	20335	54980
270	20407	54896
271	20470	54789
272	20525	54658
273	20577	54522
274	20646	54430
275	20726	54368
276	20806	54307
277	20885	54242
278	20962	54173
279	21049	54126
280	21132	54071
281	21221	54030
282	21311	53994
283	21379	53900
284	21447	53806
285	21500	53676
286	21567	53581
287	21638	53495
288	21708	53407
289	21813	53405
290	21901	53360
291	21981	53297
292	22078	53274
293	22139	53164
294	22203	53063
295	22254	52929
296	22309	52806
297	22367	52691
298	22417	52557
299	22469	52428
300	22534	52331
301	22587	52206
302	22675	52161
303	22754	52095
304	22822	52006
305	22871	51872
306	22923	51746
307	22999	51674
308	23065	51580
309	23152	51533
310	23272	51559
311	23350	51490
312	23423	51412
313	23502	51345
314	23586	51291
315	23659	51212
316	23746	51163
317	23829	51105
318	23904	51032
319	23955	50906
320	24008	50784
321	24090	50724
322	24212	50749
323	24275	50648
324	24339	50551
325	24398	50444
326	24479	50382
327	24566	50331
328	24635	50245
329	24707	50163
330	24777	50078
331	24856	50012
332	24925	49924
333	24989	49830
334	25063	49753
335	25141	49684
336	25216	49610
337	25290	49533
338	25365	49459
339	25447	49398
340	25522	49323
341	25587	49230
342	25643	49119
343	25701	49012
344	25769	48923
345	25835	48834
346	25896	48733
347	25949	48617
348	26031	48557
349	26122	48513
350	26203	48451
351	26280	48380
352	26364	48322
353	26444	48258
354	26556	48249
355	26647	48204
356	26731	48145
357	26813	48084
358	26904	48038
359	26997	47995
360	27085	47943
361	27174	47892
362	27260	47837
363	27342	47773
364	27428	47717
365	27514	47662
366	27597	47600
367	27678	47534
368	27771	47490
369	27856	47431
370	27943	47375
371	28026	47313
372	28128	47282
373	28215	47226
374	28299	47166
375	28386	47109
376	28466	47041
377	28538	46960
378	28616	46889
379	28696	46821
380	28781	46760
381	28857	46686
382	28941	46623
383	29022	46557
384	29098	46482
385	29188	46429
386	29270	46363
387	29345	46287
388	29430	46226
389	29511	46158
390	29589	46086
391	29673	46024
392	29752	45953
393	29830	45882
394	29914	45817
395	29999	45756
396	30078	45686
397	30161	45620
398	30256	45574
399	30341	45511
400	30425	45447
401	30507	45382
402	30584	45307
403	30689	45275
404	30764	45197
405	30847	45131
406	30919	45049
407	30998	44978
408	31082	44914
409	31154	44832
410	31241	44771
411	31334	44720
412	31396	44623
413	31469	44544
414	31529	44445
415	31606	44371
416	31691	44307
417	31803	44281
418	31892	44223
419	31965	44143
420	32035	44057
421	32123	43997
422	32204	43928
423	32280	43852
424	32361	43783
425	32436	43705
426	32519	43639
427	32600	43568
428	32687	43506
429	32760	43426
430	32843	43359
431	32937	43306
432	33021	43240
433	33101	43168
434	33201	43123
435	33263	43028
436	33321	42929
437	33397	42852
438	33470	42771
439	33548	42698
440	33625	42622
441	33712	42559
442	33787	42481
443	33868	42411
444	33946	42337
445	34017	42255
446	34100	42186
447	34184	42119
448	34252	42033
449	34327	41955
450	34413	41891
451	34498	41825
452	34588	41765
453	34677	41704
454	34756	41631
455	34841	41565
456	34915	41485
457	34969	41383
458	35058	41321
459	35113	41220
460	35192	41147
461	35248	41046
462	35309	40952
463	35382	40872
464	35462	40800
465	35532	40717
466	35615	40648
467	35672	40550
468	35728	40451
469	35810	40381
470	35887	40306
471	35974	40242
472	36048	40164
473	36121	40084
474	36202	40012
475	36274	39932
476	36353	39858
